epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.65111,0,1,1,0,0,0,0
2,4.87418,0,1,1,0,1.9604e-05,1.9604e-05,1.9604e-05
3,7.37605,0,1,1,0,3.8416e-05,3.8416e-05,3.8416e-05
4,9.72584,0,1,1,0,5.6436e-05,5.6436e-05,5.6436e-05
5,11.4043,0,1,1,0,7.3664e-05,7.3664e-05,7.3664e-05
6,13.2208,0,1,1,0,9.01e-05,9.01e-05,9.01e-05
7,16.9178,0,1,1,0,0.000105744,0.000105744,0.000105744
8,21.5608,0,1,1,0,0.000120596,0.000120596,0.000120596
9,24.5653,0,1,1,0,0.000134656,0.000134656,0.000134656
10,25.6807,0,1,1,0,0.000147924,0.000147924,0.000147924
11,26.9538,0,1,1,0,0.0001604,0.0001604,0.0001604
12,28.3967,0,1,1,0,0.000172084,0.000172084,0.000172084
13,29.8748,0,1,1,0,0.000182976,0.000182976,0.000182976
14,32.3442,0,1,1,0,0.000193076,0.000193076,0.000193076
15,33.4266,0,1,1,0,0.000202384,0.000202384,0.000202384
16,34.4981,0,1,1,0,0.0002109,0.0002109,0.0002109
17,35.459,0,1,1,0,0.000218624,0.000218624,0.000218624
18,36.5346,0,1,1,0,0.000225556,0.000225556,0.000225556
19,38.2437,0,1,1,0,0.000231696,0.000231696,0.000231696
20,40.0121,0,1,1,0,0.000237044,0.000237044,0.000237044
21,43.0715,0,1,1,0,0.0002416,0.0002416,0.0002416
22,44.413,0,1,1,0,0.000245364,0.000245364,0.000245364
23,46.5098,0,1,1,0,0.000248336,0.000248336,0.000248336
24,47.5388,0,1,1,0,0.000250516,0.000250516,0.000250516
25,48.8736,0,1,1,0,0.000251904,0.000251904,0.000251904
26,49.8481,0,1,1,0,0.0002525,0.0002525,0.0002525
27,50.8273,0,1,1,0,0.000252304,0.000252304,0.000252304
28,52.3241,0,1,1,0,0.000251316,0.000251316,0.000251316
29,53.9797,0,1,1,0,0.000249536,0.000249536,0.000249536
30,55.1277,0,1,1,0,0.000246964,0.000246964,0.000246964
31,57.2331,0,1,1,0,0.0002436,0.0002436,0.0002436
32,58.9202,0,1,1,0,0.000239444,0.000239444,0.000239444
33,61.4217,0,1,1,0,0.000234496,0.000234496,0.000234496
34,62.8629,0,1,1,0,0.000228756,0.000228756,0.000228756
35,63.8332,0,1,1,0,0.000222224,0.000222224,0.000222224
36,64.8893,0,1,1,0,0.0002149,0.0002149,0.0002149
37,65.7864,0,1,1,0,0.000206784,0.000206784,0.000206784
38,66.6296,0,1,1,0,0.000197876,0.000197876,0.000197876
39,67.7259,0,1,1,0,0.000188176,0.000188176,0.000188176
40,69.2149,0,1,1,0,0.000177684,0.000177684,0.000177684
41,70.3503,0,1,1,0,0.0001664,0.0001664,0.0001664
42,71.5629,0,1,1,0,0.000154324,0.000154324,0.000154324
43,73.1539,0,1,1,0,0.000141456,0.000141456,0.000141456
44,74.0663,0,1,1,0,0.000127796,0.000127796,0.000127796
45,76.1588,0,1,1,0,0.000113344,0.000113344,0.000113344
46,78.4475,0,1,1,0,9.81e-05,9.81e-05,9.81e-05
47,79.5435,0,1,1,0,8.2064e-05,8.2064e-05,8.2064e-05
48,80.7658,0,1,1,0,6.5236e-05,6.5236e-05,6.5236e-05
49,81.7799,0,1,1,0,4.7616e-05,4.7616e-05,4.7616e-05
50,82.8308,0,1,1,0,2.9204e-05,2.9204e-05,2.9204e-05
