epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1394.88,0.50192,0.84525,1,0.33719,0.000368353,0.000368353,0.000368353
2,9014.54,0.25131,0.94959,1,0.19138,0.000702121,0.000702121,0.000702121
3,11234.6,0.26098,0.81184,1,0.34192,0.000999227,0.000999227,0.000999227
4,13187.5,0.21332,0.95135,1,0.14789,0.000946016,0.000946016,0.000946016
5,14800,0.19495,0.90504,1,0.25839,0.000891022,0.000891022,0.000891022
6,16086.6,0.17074,0.92204,1,0.21835,0.000836027,0.000836027,0.000836027
7,17333.4,0.14194,0.93376,1,0.14187,0.000781033,0.000781033,0.000781033
8,18591.3,0.10972,0.95604,1,0.09776,0.000726038,0.000726038,0.000726038
9,20486.8,0.09938,0.95428,1,0.10859,0.000671044,0.000671044,0.000671044
10,22134.5,0.10497,0.95955,1,0.10658,0.000616049,0.000616049,0.000616049
11,23623.8,0.08115,0.983,1,0.05076,0.000561055,0.000561055,0.000561055
12,25008.6,0.0722,0.9789,1,0.05866,0.00050606,0.00050606,0.00050606
13,26961.3,0.06678,0.983,1,0.05827,0.000451066,0.000451066,0.000451066
14,28166.5,0.0609,0.98535,1,0.0503,0.000396071,0.000396071,0.000396071
15,29203.3,0.05981,0.97655,1,0.05022,0.000341077,0.000341077,0.000341077
16,46319,0.05122,0.98535,1,0.04152,0.000286083,0.000286083,0.000286083
17,47702.2,0.0475,0.98652,1,0.03092,0.000231088,0.000231088,0.000231088
18,49097,0.04237,0.99121,1,0.02632,0.000176094,0.000176094,0.000176094
19,52973.5,0.04051,0.98769,1,0.0368,0.000121099,0.000121099,0.000121099
20,53967.2,0.03823,0.99297,1,0.02432,6.61045e-05,6.61045e-05,6.61045e-05
