epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.03216,0,1,1,0,0,0,0
2,2.13172,0,1,1,0,1.9604e-05,1.9604e-05,1.9604e-05
3,3.15353,0,1,1,0,3.8416e-05,3.8416e-05,3.8416e-05
4,4.27187,0,1,1,0,5.6436e-05,5.6436e-05,5.6436e-05
5,5.73001,0,1,1,0,7.3664e-05,7.3664e-05,7.3664e-05
6,6.7763,0,1,1,0,9.01e-05,9.01e-05,9.01e-05
7,7.98723,0,1,1,0,0.000105744,0.000105744,0.000105744
8,9.13562,0,1,1,0,0.000120596,0.000120596,0.000120596
9,10.6817,0,1,1,0,0.000134656,0.000134656,0.000134656
10,11.9355,0,1,1,0,0.000147924,0.000147924,0.000147924
11,13.2621,0,1,1,0,0.0001604,0.0001604,0.0001604
12,14.3764,0,1,1,0,0.000172084,0.000172084,0.000172084
13,15.7696,0,1,1,0,0.000182976,0.000182976,0.000182976
14,16.8861,0,1,1,0,0.000193076,0.000193076,0.000193076
15,18.0849,0,1,1,0,0.000202384,0.000202384,0.000202384
16,19.1125,0,1,1,0,0.0002109,0.0002109,0.0002109
17,20.2059,0,1,1,0,0.000218624,0.000218624,0.000218624
18,22.8271,0,1,1,0,0.000225556,0.000225556,0.000225556
19,24.2706,0,1,1,0,0.000231696,0.000231696,0.000231696
20,25.8271,0,1,1,0,0.000237044,0.000237044,0.000237044
21,27.1881,0,1,1,0,0.0002416,0.0002416,0.0002416
22,28.5105,0,1,1,0,0.000245364,0.000245364,0.000245364
23,29.7282,0,1,1,0,0.000248336,0.000248336,0.000248336
24,30.8444,0,1,1,0,0.000250516,0.000250516,0.000250516
25,32.0502,0,1,1,0,0.000251904,0.000251904,0.000251904
26,32.9801,0,1,1,0,0.0002525,0.0002525,0.0002525
27,33.9624,0,1,1,0,0.000252304,0.000252304,0.000252304
28,34.9544,0,1,1,0,0.000251316,0.000251316,0.000251316
29,36.3607,0,1,1,0,0.000249536,0.000249536,0.000249536
30,37.4711,0,1,1,0,0.000246964,0.000246964,0.000246964
31,38.6154,0,1,1,0,0.0002436,0.0002436,0.0002436
32,39.64,0,1,1,0,0.000239444,0.000239444,0.000239444
33,40.6988,0,1,1,0,0.000234496,0.000234496,0.000234496
34,42.0325,0,1,1,0,0.000228756,0.000228756,0.000228756
35,43.4971,0,1,1,0,0.000222224,0.000222224,0.000222224
36,46.2076,0,1,1,0,0.0002149,0.0002149,0.0002149
37,47.2638,0,1,1,0,0.000206784,0.000206784,0.000206784
38,48.5213,0,1,1,0,0.000197876,0.000197876,0.000197876
39,49.5552,0,1,1,0,0.000188176,0.000188176,0.000188176
40,50.4425,0,1,1,0,0.000177684,0.000177684,0.000177684
41,51.5233,0,1,1,0,0.0001664,0.0001664,0.0001664
42,52.4673,0,1,1,0,0.000154324,0.000154324,0.000154324
43,53.7603,0,1,1,0,0.000141456,0.000141456,0.000141456
44,54.7661,0,1,1,0,0.000127796,0.000127796,0.000127796
45,56.1598,0,1,1,0,0.000113344,0.000113344,0.000113344
46,57.084,0,1,1,0,9.81e-05,9.81e-05,9.81e-05
47,58.2759,0,1,1,0,8.2064e-05,8.2064e-05,8.2064e-05
48,59.4118,0,1,1,0,6.5236e-05,6.5236e-05,6.5236e-05
49,60.3738,0,1,1,0,4.7616e-05,4.7616e-05,4.7616e-05
50,61.3499,0,1,1,0,2.9204e-05,2.9204e-05,2.9204e-05
